series_key,price_date,prophet_pred,lgbm_pred,sarima_pred,actual,month,day_of_week,is_weekend,roll_mean_7,roll_std_14,lag_1,lag_7,lag_30
Banana___Ajattihalli(Uzhavar Sandhai ),2024-10-20,80.88988528274704,61.36666666666667,60.253593104161794,60.0,10.0,6.0,1.0,58.285714285714285,5.862902555358271,60.0,60.0,60.0
Banana___Ajattihalli(Uzhavar Sandhai ),2024-10-21,76.74563761370722,61.32258064516129,58.26472105023469,60.0,10.0,0.0,0.0,58.285714285714285,5.862902555358271,60.0,60.0,60.0
Banana___Ajattihalli(Uzhavar Sandhai ),2024-10-22,60.178839690481695,61.28125,60.72065379761957,50.0,10.0,1.0,0.0,58.285714285714285,5.06658955021322,60.0,60.0,60.0
Banana___Ajattihalli(Uzhavar Sandhai ),2024-10-23,36.0396671446572,61.24242424242424,59.69639339069156,55.0,10.0,2.0,0.0,56.85714285714285,5.611996569359754,50.0,60.0,58.0
Banana___Ajattihalli(Uzhavar Sandhai ),2024-10-24,12.654451546957382,61.205882352941174,61.558583494372996,60.0,10.0,3.0,0.0,56.142857142857146,5.176553225525982,55.0,60.0,60.0
Banana___Ajattihalli(Uzhavar Sandhai ),2024-10-25,-69.37951712233918,61.17142857142857,56.55925557371029,55.0,10.0,4.0,0.0,56.142857142857146,5.176553225525982,60.0,48.0,60.0
Banana___Ajattihalli(Uzhavar Sandhai ),2024-10-26,-6.699058801798726,61.138888888888886,58.39246949200043,55.0,10.0,5.0,1.0,57.142857142857146,4.121772796869227,55.0,60.0,60.0
Banana___Ajattihalli(Uzhavar Sandhai ),2024-10-27,28.376226391304144,61.108108108108105,59.56400980302237,50.0,10.0,6.0,1.0,56.42857142857143,4.125104061291508,55.0,60.0,58.0
Banana___Ajattihalli(Uzhavar Sandhai ),2024-10-28,73.07566871690483,61.078947368421055,57.607030752084476,55.0,10.0,0.0,0.0,55.0,4.482566964743169,50.0,60.0,60.0
Banana___Ajattihalli(Uzhavar Sandhai ),2024-10-29,31.82234031661489,61.05128205128205,55.57235778228471,60.0,10.0,1.0,0.0,54.285714285714285,4.392801304031802,55.0,50.0,60.0
Banana___Ajattihalli(Uzhavar Sandhai ),2024-10-30,50.81036231477826,61.037499978539955,56.363763925934386,60.0,10.0,2.0,0.0,55.71428571428572,4.392801304031802,60.0,55.0,58.0
Banana___Ajattihalli(Uzhavar Sandhai ),2024-10-31,55.75035196213715,62.30273429735075,59.18820834966409,60.0,10.0,3.0,0.0,56.42857142857143,4.392801304031802,60.0,60.0,58.0
Banana___Ajattihalli(Uzhavar Sandhai ),2024-11-01,54.62784321985288,61.05330881469121,56.79550048038002,60.0,11.0,4.0,0.0,56.42857142857143,4.392801304031802,60.0,55.0,56.0
Banana___Ajattihalli(Uzhavar Sandhai ),2024-11-02,53.40163460272116,61.16222945587634,56.55890520727538,55.0,11.0,5.0,1.0,57.142857142857146,3.779644730092298,60.0,55.0,60.0
Banana___Ajattihalli(Uzhavar Sandhai ),2024-11-03,49.96187676366788,60.887994073796655,54.25845101189267,56.0,11.0,6.0,1.0,57.142857142857146,3.724731718342486,55.0,50.0,60.0
Banana___Ajattihalli(Uzhavar Sandhai ),2024-11-04,51.67923009630293,60.87024154640051,52.99801984246878,60.0,11.0,0.0,0.0,58.0,3.6108809920103626,56.0,55.0,60.0
Banana___Ajattihalli(Uzhavar Sandhai ),2024-11-05,61.77801543928519,60.85326086580753,55.71938643983802,60.0,11.0,1.0,0.0,58.71428571428572,3.6108809920103626,60.0,60.0,60.0
