series_key,price_date,prophet_pred,lgbm_pred,sarima_pred,actual,month,day_of_week,is_weekend,roll_mean_7,roll_std_14,lag_1,lag_7,lag_30
Banana___Alangudi(Uzhavar Sandhai ),2024-10-20,8.892721224858168,53.666666666666664,62.25208325104161,60.0,10.0,6.0,1.0,60.0,0.0,60.0,60.0,60.0
Banana___Alangudi(Uzhavar Sandhai ),2024-10-21,11.194196937278015,53.54838709677419,62.139059959074686,60.0,10.0,0.0,0.0,60.0,0.0,60.0,60.0,60.0
Banana___Alangudi(Uzhavar Sandhai ),2024-10-22,10.61036909751796,53.75,63.634209930772194,60.0,10.0,1.0,0.0,60.0,0.0,60.0,60.0,60.0
Banana___Alangudi(Uzhavar Sandhai ),2024-10-23,29.82329584925681,53.63636363636363,61.375581377312145,60.0,10.0,2.0,0.0,60.0,0.0,60.0,60.0,60.0
Banana___Alangudi(Uzhavar Sandhai ),2024-10-24,50.13061707688408,53.8235294117647,61.471137911331425,60.0,10.0,3.0,0.0,60.0,0.0,60.0,60.0,60.0
Banana___Alangudi(Uzhavar Sandhai ),2024-10-25,68.56698437916944,53.714285714285715,62.12589300815137,60.0,10.0,4.0,0.0,60.0,0.0,60.0,60.0,60.0
Banana___Alangudi(Uzhavar Sandhai ),2024-10-26,94.01856606765386,53.888888888888886,59.52946195747129,60.0,10.0,5.0,1.0,60.0,0.0,60.0,60.0,60.0
Banana___Alangudi(Uzhavar Sandhai ),2024-10-27,101.07413159739754,54.054054054054056,61.57684245908169,60.0,10.0,6.0,1.0,60.0,0.0,60.0,60.0,60.0
Banana___Alangudi(Uzhavar Sandhai ),2024-10-28,102.22672652244047,54.21052631578947,62.02134907309319,60.0,10.0,0.0,0.0,60.0,0.0,60.0,60.0,30.0
Banana___Alangudi(Uzhavar Sandhai ),2024-10-29,95.03550144317043,54.35897435897436,63.48014831365011,60.0,10.0,1.0,0.0,60.0,0.0,60.0,60.0,60.0
Banana___Alangudi(Uzhavar Sandhai ),2024-10-30,63.62738870039152,54.5,61.399627024631776,60.0,10.0,2.0,0.0,60.0,0.0,60.0,60.0,60.0
Banana___Alangudi(Uzhavar Sandhai ),2024-10-31,56.19658759719206,56.17834401347337,61.28940149070418,60.0,10.0,3.0,0.0,60.0,0.0,60.0,60.0,60.0
Banana___Alangudi(Uzhavar Sandhai ),2024-11-01,62.33857009631356,57.22128856573802,61.21361966765167,60.0,11.0,4.0,0.0,60.0,0.0,60.0,60.0,60.0
Banana___Alangudi(Uzhavar Sandhai ),2024-11-02,60.572535631023776,57.01255726866746,59.58711804724367,60.0,11.0,5.0,1.0,60.0,0.0,60.0,60.0,60.0
Banana___Alangudi(Uzhavar Sandhai ),2024-11-03,53.30262238928865,57.25154674620624,61.48945024852251,60.0,11.0,6.0,1.0,60.0,0.0,60.0,60.0,60.0
Banana___Alangudi(Uzhavar Sandhai ),2024-11-04,55.549431086842205,55.05057024639971,61.89848626480542,60.0,11.0,0.0,0.0,60.0,0.0,60.0,60.0,60.0
Banana___Alangudi(Uzhavar Sandhai ),2024-11-05,54.45202925097767,56.09500270990581,63.25417111135561,60.0,11.0,1.0,0.0,60.0,0.0,60.0,60.0,60.0
Banana___Alangudi(Uzhavar Sandhai ),2024-11-06,54.007855278675436,56.342750453750746,61.309333536011316,60.0,11.0,2.0,0.0,60.0,0.0,60.0,60.0,60.0
Banana___Alangudi(Uzhavar Sandhai ),2024-11-07,51.81544314918964,55.10926728862979,61.20529185659178,60.0,11.0,3.0,0.0,60.0,0.0,60.0,60.0,60.0
Banana___Alangudi(Uzhavar Sandhai ),2024-11-08,52.42763643622832,54.933522440447184,61.13370470651866,60.0,11.0,4.0,0.0,60.0,0.0,60.0,60.0,60.0
Banana___Alangudi(Uzhavar Sandhai ),2024-11-09,52.848780531273775,55.01203033914143,59.60829033196015,60.0,11.0,5.0,1.0,60.0,0.0,60.0,60.0,60.0
Banana___Alangudi(Uzhavar Sandhai ),2024-11-10,55.11249806775594,55.15821636501829,61.39032857203044,60.0,11.0,6.0,1.0,60.0,0.0,60.0,60.0,60.0
Banana___Alangudi(Uzhavar Sandhai ),2024-11-11,55.262404651239436,56.03663156323729,61.77296719673022,60.0,11.0,0.0,0.0,60.0,0.0,60.0,60.0,60.0
Banana___Alangudi(Uzhavar Sandhai ),2024-11-12,56.32278930496662,56.080701967419145,63.04345195109113,60.0,11.0,1.0,0.0,60.0,0.0,60.0,60.0,60.0
Banana___Alangudi(Uzhavar Sandhai ),2024-11-13,55.695096398585356,56.18790151666374,61.221213759083845,60.0,11.0,2.0,0.0,60.0,0.0,60.0,60.0,60.0
Banana___Alangudi(Uzhavar Sandhai ),2024-11-14,55.6292431064886,56.01643474903129,61.0883918737428,60.0,11.0,3.0,0.0,60.0,0.0,60.0,60.0,60.0
Banana___Alangudi(Uzhavar Sandhai ),2024-11-15,56.31647909976238,56.02052933147975,61.05838590137492,60.0,11.0,4.0,0.0,60.0,0.0,60.0,60.0,60.0
Banana___Alangudi(Uzhavar Sandhai ),2024-11-16,61.51333995638687,56.09916515935931,59.62300286267047,60.0,11.0,5.0,1.0,60.0,0.0,60.0,60.0,60.0
Banana___Alangudi(Uzhavar Sandhai ),2024-11-17,68.6818899699893,56.174620841556035,61.23366151899191,60.0,11.0,6.0,1.0,60.0,0.0,60.0,60.0,60.0
Banana___Alangudi(Uzhavar Sandhai ),2024-11-18,66.31127143105543,56.18807724087926,61.66038033493341,60.0,11.0,0.0,0.0,60.0,0.0,60.0,60.0,60.0
Banana___Alangudi(Uzhavar Sandhai ),2024-11-19,64.8968662614416,56.37272364543034,62.898435535510444,60.0,11.0,1.0,0.0,60.0,0.0,60.0,60.0,60.0
Banana___Alangudi(Uzhavar Sandhai ),2024-11-20,66.0152105613461,56.61771203680623,61.00747889179783,60.0,11.0,2.0,0.0,60.0,0.0,60.0,60.0,60.0
Banana___Alangudi(Uzhavar Sandhai ),2024-11-21,66.16904448014877,56.355278242430565,61.03039600115373,60.0,11.0,3.0,0.0,60.0,0.0,60.0,60.0,60.0
Banana___Alangudi(Uzhavar Sandhai ),2024-11-22,66.01539276798765,56.368279498380836,61.246341342671805,60.0,11.0,4.0,0.0,60.0,0.0,60.0,60.0,60.0
Banana___Alangudi(Uzhavar Sandhai ),2024-11-23,65.13500127269582,56.42519431703641,59.828359318608335,60.0,11.0,5.0,1.0,60.0,0.0,60.0,60.0,60.0
Banana___Alangudi(Uzhavar Sandhai ),2024-11-24,65.67923220936397,56.60726266443406,61.22064926273135,60.0,11.0,6.0,1.0,60.0,0.0,60.0,60.0,60.0
Banana___Alangudi(Uzhavar Sandhai ),2024-11-25,65.0643544775022,56.80956126476858,61.493645589887265,60.0,11.0,0.0,0.0,60.0,0.0,60.0,60.0,60.0
Banana___Alangudi(Uzhavar Sandhai ),2024-11-26,66.38492375288102,59.271141608727994,62.73154858654539,60.0,11.0,1.0,0.0,60.0,0.0,60.0,60.0,60.0
Banana___Alangudi(Uzhavar Sandhai ),2024-11-27,64.81538810329447,59.40874505761178,60.94318597938153,60.0,11.0,2.0,0.0,60.0,0.0,60.0,60.0,60.0
Banana___Alangudi(Uzhavar Sandhai ),2024-11-28,64.59372093127185,59.465954850663124,60.964326779686154,60.0,11.0,3.0,0.0,60.0,0.0,60.0,60.0,60.0
Banana___Alangudi(Uzhavar Sandhai ),2024-12-02,65.55331040205884,59.364688684799034,61.37583130926982,60.0,12.0,0.0,0.0,60.0,0.0,60.0,60.0,60.0
Banana___Alangudi(Uzhavar Sandhai ),2024-12-03,67.9474933855569,57.74948048454658,63.52048689932345,60.0,12.0,1.0,0.0,60.0,0.0,60.0,60.0,60.0
Banana___Alangudi(Uzhavar Sandhai ),2024-12-04,65.25563158888257,57.766245659443534,61.82063862303078,60.0,12.0,2.0,0.0,60.0,0.0,60.0,60.0,60.0
Banana___Alangudi(Uzhavar Sandhai ),2024-12-05,63.016660975633826,59.82221707254027,61.68960538033938,60.0,12.0,3.0,0.0,60.0,0.0,60.0,60.0,60.0
Banana___Alangudi(Uzhavar Sandhai ),2024-12-06,49.27297008922168,60.11613335009569,61.4292681999836,60.0,12.0,4.0,0.0,60.0,0.0,60.0,60.0,60.0
Banana___Alangudi(Uzhavar Sandhai ),2024-12-07,51.559770605904276,60.01950668209099,59.44263061878518,30.0,12.0,5.0,1.0,60.0,0.0,60.0,60.0,60.0
Banana___Alangudi(Uzhavar Sandhai ),2024-12-08,49.849273320935026,59.479212529060526,60.90851279443735,60.0,12.0,6.0,1.0,55.71428571428572,8.017837257372719,30.0,60.0,60.0
Banana___Alangudi(Uzhavar Sandhai ),2024-12-09,52.4017925529031,59.48675581660331,61.12748592606103,60.0,12.0,0.0,0.0,55.71428571428572,8.017837257372719,60.0,60.0,60.0
Banana___Alangudi(Uzhavar Sandhai ),2024-12-10,54.965081954595746,59.53718623355505,59.84408338050064,60.0,12.0,1.0,0.0,55.71428571428572,8.017837257372719,60.0,60.0,60.0
Banana___Alangudi(Uzhavar Sandhai ),2024-12-11,54.46657262988169,59.54377862841134,60.999815783591956,60.0,12.0,2.0,0.0,55.71428571428572,8.017837257372719,60.0,60.0,60.0
Banana___Alangudi(Uzhavar Sandhai ),2024-12-12,55.16170460543153,59.84688061992944,61.322680159337544,60.0,12.0,3.0,0.0,55.71428571428572,8.017837257372719,60.0,60.0,60.0
Banana___Alangudi(Uzhavar Sandhai ),2024-12-13,55.156881869869245,59.7527143576638,62.38868492968881,60.0,12.0,4.0,0.0,55.71428571428572,8.017837257372719,60.0,60.0,60.0
Banana___Alangudi(Uzhavar Sandhai ),2024-12-14,30.70073328800151,58.853478608830564,50.190012681113636,60.0,12.0,5.0,1.0,55.71428571428572,8.017837257372719,60.0,30.0,60.0
